p,q,x,y,z,theta,phi,rootid
-17,-11,0.549497,0.112364,-0.827905,145.8842,-11.5568,720575940640299392
-16,-12,0.499939,0.198205,-0.843075,147.4663,-21.6262,720575940631425554
-17,-10,0.608188,0.106807,-0.786575,141.8665,-9.9605,720575940618052097
-16,-11,0.555116,0.19151,-0.809426,144.0399,-19.034,720575940624595179
-15,-13,0.420991,0.267129,-0.866838,150.0933,-32.3961,720575940624341651
-15,-12,0.484613,0.272381,-0.831239,146.2262,-29.3386,720575940636195320
-17,-9,0.662405,0.09111,-0.743585,138.0377,-7.8316,720575940625756676
-16,-10,0.616876,0.185698,-0.76484,139.8928,-16.7534,720575940625770983
-15,-11,0.547613,0.267076,-0.792963,142.4633,-25.999,720575940628820712
-14,-14,0.315127,0.318026,-0.894178,153.403,-45.2624,720575940631868946
-14,-13,0.393253,0.339235,-0.854559,148.711,-40.7823,720575940635215770
-16,-9,0.668985,0.16473,-0.724792,136.4515,-13.8332,720575940624984368
-17,-8,0.709863,0.065182,-0.701317,134.5327,-5.2464,720575940627906590
-15,-10,0.610177,0.261605,-0.747828,138.4026,-23.2065,720575940632333260
-14,-12,0.46143,0.344181,-0.817693,144.8545,-36.7193,720575940645488692
-14,-11,0.526337,0.339607,-0.77951,141.2157,-32.8312,720575940622899241
-16,-8,0.715206,0.14232,-0.68427,133.1782,-11.2544,720575940625956339
-13,-15,0.199595,0.366736,-0.908662,155.3211,-61.4429,720575940627105354
-15,-9,0.669534,0.242782,-0.701984,134.5864,-19.9313,720575940638256693
-13,-14,0.277841,0.389995,-0.8779,151.39,-54.5331,720575940612007061
-13,-13,0.356638,0.405076,-0.841857,147.3367,-48.6385,720575940615506399
-17,-7,0.75467,0.027529,-0.655527,130.9596,-2.0891,720575940616485900
-14,-10,0.590308,0.331533,-0.73595,137.3876,-29.3198,720575940605300256
-13,-12,0.432042,0.417468,-0.799412,143.074,-44.0172,720575940623798259
-15,-8,0.717842,0.217537,-0.661348,131.4028,-16.8591,720575940615140767
-16,-7,0.761112,0.109796,-0.63926,129.7366,-8.2087,720575940619171894
-13,-11,0.502585,0.413616,-0.759164,139.3906,-39.4535,720575940609890787
-14,-9,0.653908,0.314872,-0.687939,133.4672,-25.7119,720575940608677845
-12,-15,0.140259,0.434343,-0.88976,152.8431,-72.1036,720575940613874738
-12,-14,0.229225,0.463526,-0.85592,148.8616,-63.6865,720575940621150817
-12,-16,0.071255,0.393968,-0.916358,156.3993,-79.748,720575940613721837
-17,-6,0.791599,-0.0094,-0.610969,127.6596,0.6804,720575940633670039
-12,-13,0.316785,0.473662,-0.821761,145.2615,-56.2254,720575940613759795
-13,-10,0.570975,0.405346,-0.713921,135.5548,-35.3717,720575940604728009
-12,-12,0.394372,0.482211,-0.782268,141.4687,-50.7223,720575940612950165
-15,-7,0.764188,0.186848,-0.617336,128.1219,-13.7396,720575940609887971
-14,-8,0.711064,0.293123,-0.639113,129.7257,-22.403,720575940619697323
-16,-6,0.803251,0.071262,-0.591363,126.2538,-5.0698,720575940627215972
-13,-9,0.637842,0.388115,-0.665225,131.6996,-31.3197,720575940630307468
-12,-11,0.470846,0.481922,-0.738955,137.6425,-45.666,720575940623414541
-11,-15,0.07985,0.493156,-0.866268,150.0278,-80.8027,720575940625888295
-11,-16,0.011075,0.452027,-0.891936,153.1175,-88.5965,720575940628997163
-11,-14,0.168578,0.531044,-0.830406,146.1404,-72.3881,720575940640735395
-14,-7,0.757109,0.263198,-0.597924,126.7214,-19.1693,720575940629289271
-15,-6,0.806613,0.150488,-0.571602,124.862,-10.568,720575940627060951
-12,-10,0.546842,0.473271,-0.690636,133.6805,-40.8749,720575940621842183
-11,-13,0.268272,0.545075,-0.794307,142.5898,-63.7948,720575940615324822
-13,-8,0.696354,0.367531,-0.616451,128.0574,-27.8248,720575940635716703
-11,-12,0.354549,0.546184,-0.758932,139.3702,-57.0108,720575940621254676
-16,-5,0.836123,0.026519,-0.547901,123.2231,-1.8166,720575940625805329
-12,-9,0.617539,0.459644,-0.638258,129.662,-36.6609,720575940626259504
-11,-11,0.431298,0.547128,-0.717379,135.8385,-51.7515,720575940612953750
-14,-6,0.803756,0.223529,-0.551372,123.4612,-15.5416,720575940613627567
-13,-7,0.747876,0.335943,-0.572559,124.9289,-24.1895,720575940620576216
-10,-15,0.024551,0.546391,-0.837171,146.8425,-87.4273,720575940625442574
-15,-5,0.845094,0.10351,-0.524502,121.6347,-6.983,720575940628621815
-10,-16,-0.047973,0.507047,-0.860582,149.382,-95.4048,720575940639258301
-10,-14,0.113391,0.586307,-0.802114,143.3325,-79.0542,720575940645761902
-11,-10,0.511557,0.538994,-0.669175,132.0034,-46.496,720575940609841635
-12,-8,0.679567,0.436189,-0.589854,126.1466,-32.6949,720575940621784979
-10,-13,0.214721,0.608801,-0.763712,139.7925,-70.5725,720575940632506579
-16,-4,0.864544,-0.018698,-0.502209,120.1463,1.239,720575940620735067
-10,-12,0.307474,0.615392,-0.725777,136.5335,-63.4515,720575940630595525
-14,-5,0.844436,0.183423,-0.503274,120.2168,-12.2551,720575940605961830
-11,-9,0.587098,0.524712,-0.616436,128.0563,-41.7884,720575940610580434
-13,-6,0.796551,0.297397,-0.526366,121.7603,-20.4734,720575940618616916
-10,-11,0.388749,0.614775,-0.68624,133.3332,-57.693,720575940612506482
-15,-4,0.873905,0.060889,-0.482267,118.8336,-3.9856,720575940623387094
-12,-7,0.732704,0.409627,-0.543461,122.9196,-29.2079,720575940618969152
-9,-15,-0.037087,0.59639,-0.801837,143.3059,-93.5584,720575940639728573
-10,-10,0.470515,0.609197,-0.638354,129.6692,-52.3192,720575940616071541
-9,-16,-0.111936,0.546744,-0.829784,146.0766,-101.5704,720575940635500640
-9,-14,0.054597,0.634038,-0.771372,140.4773,-85.0784,720575940642102669
-11,-8,0.652405,0.503103,-0.566793,124.5269,-37.6376,720575940631693928
-9,-13,0.158754,0.660514,-0.733838,137.2091,-76.4854,720575940619735941
-13,-5,0.839829,0.259449,-0.476836,118.479,-17.1675,720575940616965644
-14,-4,0.877105,0.137149,-0.460301,117.4066,-8.8871,720575940623561485
-12,-6,0.781729,0.376081,-0.497457,119.8319,-25.6917,720575940609941624
-9,-12,0.254607,0.675843,-0.691672,133.7626,-69.3573,720575940635750512
-10,-9,0.548547,0.596315,-0.586092,125.8802,-47.3892,720575940639164991
-11,-7,0.709751,0.475796,-0.519492,121.2981,-33.8367,720575940631085532
-9,-11,0.340625,0.679407,-0.649908,130.5347,-63.3728,720575940627295930
-15,-3,0.900401,0.015277,-0.434792,115.772,-0.972,720575940619484224
-12,-5,0.82574,0.338655,-0.451072,116.8125,-22.2996,720575940624009107
-13,-4,0.876496,0.213897,-0.431281,115.5489,-13.7142,720575940625572851
-10,-8,0.618293,0.573282,-0.537645,122.5234,-42.8367,720575940629624169
-9,-10,0.423669,0.674813,-0.604261,127.1757,-57.8781,720575940630731714
-8,-15,-0.098813,0.630048,-0.770244,140.3758,-98.9133,720575940622666224
-8,-14,-0.013345,0.673883,-0.738718,137.6223,-91.1345,720575940626031381
-8,-16,-0.179061,0.570145,-0.801793,143.3017,-107.4355,720575940636525687
-14,-3,0.905674,0.092396,-0.413784,114.4428,-5.8251,720575940620575960
-11,-6,0.75893,0.448156,-0.472421,118.1916,-30.5623,720575940638789454
-8,-13,0.086843,0.707152,-0.701708,134.5642,-82.9988,720575940622089605
-8,-12,0.187597,0.725414,-0.662255,131.4721,-75.5006,720575940611944434
-9,-9,0.50504,0.662699,-0.55296,123.5703,-52.6892,720575940626967482
-10,-7,0.67867,0.544236,-0.493168,119.549,-38.7267,720575940624451260
-15,-2,0.915367,-0.037591,-0.400861,113.632,2.3516,720575940621135495
-8,-11,0.28453,0.729469,-0.622028,128.4644,-68.6917,720575940634522719
-12,-4,0.867342,0.291883,-0.40314,113.7746,-18.5994,720575940608555356
-13,-3,0.905089,0.167988,-0.390633,112.9939,-10.5146,720575940622144383
-11,-5,0.806376,0.412629,-0.423669,115.0665,-27.0992,720575940626495518
-9,-8,0.579662,0.641335,-0.502675,120.1771,-47.8916,720575940633668252
-8,-10,0.373986,0.728393,-0.57409,125.0359,-62.8222,720575940629875728
-14,-2,0.926604,0.046038,-0.373209,111.9137,-2.8444,720575940630551290
-10,-6,0.733528,0.512349,-0.446581,116.5246,-34.9333,720575940627323153
-7,-15,-0.169377,0.642739,-0.747127,138.3421,-104.7632,720575940625015015
-7,-14,-0.080838,0.700292,-0.709265,135.1751,-96.5847,720575940631249325
-7,-13,0.014498,0.744763,-0.667171,131.8491,-88.8848,720575940613152493
-9,-7,0.642674,0.613173,-0.459336,117.3443,-43.6543,720575940627864326
-7,-12,0.118437,0.770455,-0.626395,128.7847,-81.2607,720575940633474079
-8,-9,0.455828,0.71992,-0.523389,121.5599,-57.6595,720575940618257620
-12,-3,0.901314,0.240995,-0.359938,111.0964,-14.9697,720575940617633088
-11,-4,0.850628,0.368153,-0.37536,112.0466,-23.403,720575940629187587
-13,-2,0.929807,0.119082,-0.348249,110.3803,-7.2982,720575940625802883
-7,-11,0.218653,0.776954,-0.590368,126.1831,-74.2821,720575940612984722
-10,-5,0.78359,0.478279,-0.396529,113.3613,-31.3986,720575940622859305
-8,-8,0.535518,0.70002,-0.472433,118.1924,-52.5839,720575940619288929
-14,-1,0.939669,-0.006627,-0.342021,110.0001,0.4041,720575940621364907
-7,-10,0.313858,0.775377,-0.547982,123.2286,-67.9628,720575940619554224
-9,-6,0.701286,0.581743,-0.412035,114.3327,-39.677,720575940618045414
-6,-15,-0.246412,0.651048,-0.717926,135.8835,-110.7309,720575940613847983
-6,-14,-0.152002,0.7186,-0.678609,132.735,-101.9434,720575940638896216
-12,-2,0.928024,0.189984,-0.320435,108.6892,-11.5697,720575940605092700
-6,-13,-0.053193,0.771577,-0.633908,129.3391,-93.9437,720575940624812808
-11,-3,0.889866,0.31865,-0.326498,109.0564,-19.7018,720575940614953362
-10,-4,0.829981,0.437113,-0.346503,110.2736,-27.7738,720575940623478154
-7,-9,0.400398,0.770305,-0.496298,119.7554,-62.535,720575940616543813
-8,-7,0.605795,0.674703,-0.421649,114.9387,-48.0803,720575940622694476
-13,-1,0.946929,0.075408,-0.312473,108.2083,-4.5531,720575940629006065
-6,-12,0.050925,0.806618,-0.588875,126.0772,-86.3875,720575940623072844
-9,-5,0.755633,0.548516,-0.35798,110.9762,-35.976,720575940617355521
-6,-11,0.151374,0.82084,-0.550733,123.4173,-79.5513,720575940607753769
-7,-8,0.482065,0.757345,-0.440502,116.1359,-57.5224,720575940633410335
-14,0,0.948767,-0.069068,-0.308336,107.959,4.1637,720575940614735250
-8,-6,0.665208,0.642954,-0.379615,112.3098,-44.0254,720575940625309513
-11,-2,0.920395,0.265032,-0.287454,106.7056,-16.064,720575940615664345
-6,-10,0.248143,0.821763,-0.512963,120.8614,-73.1975,720575940625216404
-12,-1,0.94709,0.143854,-0.286925,106.674,-8.6366,720575940627930520
-10,-3,0.870295,0.393719,-0.295926,107.2131,-24.3419,720575940611361941
-5,-15,-0.319042,0.652237,-0.687604,133.4408,-116.0656,720575940625770254
-5,-14,-0.228126,0.726891,-0.647756,130.3726,-107.4239,720575940640732067
-9,-4,0.804978,0.504192,-0.312731,108.2239,-32.0607,720575940614269182
-5,-13,-0.125141,0.785643,-0.605891,127.293,-99.0503,720575940629208684
-13,0,0.959622,0.017775,-0.28073,106.3038,-1.0612,720575940626297406
-7,-7,0.558344,0.73371,-0.387197,112.7802,-52.7293,720575940627894600
-6,-9,0.340953,0.81637,-0.466145,117.7844,-67.3324,720575940633328991
-5,-12,-0.019182,0.83173,-0.55485,123.7004,-91.3212,720575940615281105
-8,-5,0.720539,0.610766,-0.328311,109.1663,-40.2863,720575940617803403
-5,-11,0.081891,0.855353,-0.511531,120.7659,-84.5312,720575940627878165
-11,-1,0.943263,0.212299,-0.255313,104.7922,-12.6842,720575940617482385
-10,-2,0.904294,0.343699,-0.253227,104.6686,-20.8105,720575940650668153
-6,-8,0.42071,0.809865,-0.408805,114.1298,-62.5489,720575940629721130
-12,0,0.964501,0.090702,-0.248012,104.3599,-5.3723,720575940640179315
-7,-6,0.622858,0.704429,-0.340333,109.8972,-48.5168,720575940608810947
-9,-3,0.845012,0.462114,-0.269081,105.6096,-28.673,720575940629635884
-5,-10,0.175881,0.863867,-0.472017,118.1653,-78.492,720575940652859894
-8,-4,0.771633,0.571583,-0.279063,106.2043,-36.529,720575940620509233
