p,q,x,y,z,theta,phi,rootid
-17,-9,0.628519,-0.018376,-0.777577,141.0393,1.6747,720575940655096481
-16,-11,0.511288,-0.120231,-0.850958,148.316,13.2329,720575940631681298
-16,-10,0.575406,-0.120865,-0.808888,143.9874,11.8626,720575940655608481
-15,-13,0.387792,-0.188362,-0.902295,154.4615,25.9072,720575940625581605
-17,-8,0.687317,-0.005502,-0.726337,136.5802,0.4587,720575940622574038
-15,-12,0.457466,-0.200023,-0.866438,150.0474,23.617,720575940640143192
-16,-9,0.641951,-0.112822,-0.758399,139.3233,9.9678,720575940621269696
-15,-11,0.525916,-0.211416,-0.823842,145.4713,21.8999,720575940617320331
-17,-7,0.733282,0.005712,-0.679901,132.8359,-0.4463,720575940622211241
-16,-8,0.69585,-0.098614,-0.711385,135.3477,8.0661,720575940638341353
-15,-10,0.586753,-0.205697,-0.783205,141.5549,19.319,720575940621710831
-14,-14,0.297611,-0.263295,-0.917662,156.5867,41.499,720575940617264245
-14,-13,0.367718,-0.279825,-0.886838,152.4786,37.2704,720575940635825144
-15,-9,0.648219,-0.195433,-0.735947,137.3873,16.7776,720575940631432901
-14,-12,0.440965,-0.287826,-0.850122,148.2249,33.1332,720575940648422532
-16,-7,0.744893,-0.077499,-0.662667,131.5036,5.9397,720575940639022911
-14,-11,0.513605,-0.292599,-0.806595,143.7646,29.67,720575940636051551
-15,-8,0.700555,-0.181602,-0.690104,133.6384,14.5327,720575940605581024
-14,-10,0.582426,-0.292269,-0.758524,139.3343,26.6481,720575940628729617
-13,-14,0.263401,-0.337136,-0.903858,154.6699,51.9998,720575940629277289
-13,-13,0.342934,-0.358736,-0.868162,150.2457,46.2901,720575940638990911
-16,-6,0.788148,-0.048041,-0.613608,127.8509,3.4881,720575940614968938
-14,-9,0.642188,-0.27628,-0.715027,135.6454,23.2782,720575940620655854
-15,-7,0.744685,-0.164329,-0.64687,130.306,12.444,720575940610903854
-13,-12,0.418457,-0.370718,-0.829133,146.0098,41.5382,720575940623221774
-13,-11,0.491815,-0.373216,-0.786656,141.8741,37.1932,720575940625813054
-16,-5,0.821814,0.002901,-0.569748,124.7326,-0.2023,720575940629070339
-14,-8,0.697724,-0.261278,-0.667019,131.8374,20.5295,720575940630787599
-15,-6,0.790932,-0.135723,-0.596662,126.6312,9.7371,720575940636988813
-13,-10,0.562574,-0.373195,-0.737724,137.5379,33.5591,720575940613616559
-12,-15,0.130228,-0.375507,-0.917625,156.5813,70.8732,720575940614026280
-12,-14,0.21751,-0.407319,-0.887007,152.4995,61.8976,720575940612855219
-12,-13,0.306156,-0.429556,-0.849559,148.1637,54.5215,720575940631087831
-14,-7,0.742221,-0.241372,-0.625178,128.6953,18.0147,720575940611704689
-16,-4,0.827724,0.055325,-0.558402,123.9454,-3.824,720575940623210933
-13,-9,0.626967,-0.360163,-0.690793,133.6929,29.8753,720575940632232418
-15,-5,0.827259,-0.094962,-0.553736,123.6237,6.5484,720575940618728606
-12,-12,0.388017,-0.448543,-0.805141,143.6239,49.1382,720575940636050271
-12,-11,0.464694,-0.454379,-0.76,139.4642,44.3569,720575940629485041
-13,-8,0.683215,-0.340206,-0.646125,130.2501,26.4709,720575940614486782
-14,-6,0.786679,-0.213718,-0.57919,125.3936,15.1988,720575940612334810
-15,-4,0.855178,-0.045236,-0.516356,121.0882,3.028,720575940616787061
-12,-10,0.53592,-0.449618,-0.714586,135.6093,39.9955,720575940640503640
-11,-15,0.079227,-0.445246,-0.891897,153.1125,79.9104,720575940616083212
-11,-14,0.164928,-0.48251,-0.860223,149.3416,71.129,720575940605029856
-13,-7,0.732827,-0.320335,-0.600291,126.8908,23.6112,720575940633468385
-14,-5,0.82902,-0.176955,-0.530483,122.0381,12.049,720575940620739494
-11,-13,0.258949,-0.503286,-0.824408,145.5285,62.7735,720575940621096686
-12,-9,0.602482,-0.437608,-0.667469,131.872,35.9925,720575940639258200
-11,-12,0.347273,-0.520405,-0.780115,141.2711,56.2843,720575940621528703
-15,-3,0.882319,0.001659,-0.470649,118.0764,-0.1078,720575940643572334
-13,-6,0.779951,-0.291692,-0.553708,123.6218,20.5052,720575940629703724
-12,-8,0.660559,-0.421276,-0.621441,128.4215,32.528,720575940611685489
