p,q,x,y,z,theta,phi,hex1,hex2
-18,-12,0.497501,0.11268,-0.860114,149.3294,-12.7617,6,1
-18,-11,0.550677,0.115012,-0.826757,145.767,-11.797,7,1
-17,-13,0.437513,0.194168,-0.877998,151.4019,-23.9317,5,2
-17,-12,0.50279,0.202,-0.840475,147.1903,-21.8882,6,2
-16,-14,0.347104,0.248705,-0.904248,154.7222,-35.6221,4,3
-17,-11,0.55255,0.190394,-0.811443,144.2371,-19.0126,7,2
-16,-13,0.423901,0.269454,-0.864698,149.8482,-32.4422,5,3
-16,-12,0.48438,0.274964,-0.830524,146.1526,-29.5819,6,3
-18,-9,0.663799,0.094571,-0.741907,137.8942,-8.1083,9,1
-17,-10,0.620155,0.189137,-0.761337,139.5822,-16.9608,8,2
-16,-11,0.549218,0.26587,-0.792258,142.397,-25.8311,7,3
-15,-15,0.243354,0.294539,-0.924135,157.5383,-50.4358,3,4
-15,-14,0.312316,0.317108,-0.895489,153.5714,-45.4362,4,4
-15,-13,0.396001,0.343092,-0.851746,148.4021,-40.9054,5,4
-17,-9,0.669572,0.162125,-0.724837,136.4553,-13.6112,9,2
-18,-8,0.710382,0.068587,-0.700466,134.4644,-5.5148,10,1
-16,-10,0.612504,0.266492,-0.744191,138.0897,-23.5132,8,3
-15,-12,0.46049,0.343514,-0.818503,144.9352,-36.722,6,4
-15,-11,0.525276,0.338228,-0.780824,141.3361,-32.7777,7,4
-17,-8,0.713274,0.144137,-0.685905,133.3068,-11.4243,10,2
-14,-15,0.198611,0.365735,-0.909281,155.4062,-61.4961,3,5
-16,-9,0.67247,0.244384,-0.698613,134.3158,-19.9718,9,3
-14,-14,0.277882,0.391508,-0.877213,151.308,-54.6339,4,5
-14,-16,0.130652,0.337845,-0.932089,158.7629,-68.8575,2,5
-14,-13,0.35671,0.403429,-0.842617,147.4175,-48.517,5,5
-15,-10,0.587223,0.332099,-0.73816,137.5749,-29.49,8,4
-14,-12,0.432554,0.42147,-0.797032,142.8476,-44.2565,6,5
-16,-8,0.718468,0.217851,-0.660563,131.3429,-16.8682,10,3
-17,-7,0.760041,0.109881,-0.640519,129.8305,-8.2264,11,2
-14,-11,0.502206,0.414495,-0.758935,139.3704,-39.5345,7,5
