p,q,x,y,z,theta,phi,hex1,hex2
-18,-12,0.404185,0.002281,-0.914675,156.1595,-0.3233,6,1
-18,-11,0.478969,-0.036444,-0.877075,151.2915,4.3512,7,1
-18,-10,0.553526,-0.03098,-0.832255,146.3311,3.2034,8,1
-17,-13,0.403359,-0.047158,-0.913826,156.0395,6.6683,5,2
-17,-12,0.458068,-0.127991,-0.879655,151.6007,15.6112,6,2
-18,-9,0.628519,-0.018376,-0.777577,141.0393,1.6747,9,1
-17,-11,0.513464,-0.122187,-0.849367,148.1429,13.3855,7,2
-17,-10,0.575696,-0.122998,-0.80836,143.936,12.0599,8,2
-16,-14,0.309691,-0.180184,-0.933609,159.0045,30.1917,4,3
-16,-13,0.388777,-0.194803,-0.900502,154.2241,26.6139,5,3
-18,-8,0.687317,-0.005502,-0.726337,136.5802,0.4587,10,1
-16,-12,0.45642,-0.204916,-0.865847,149.9795,24.1783,6,3
-17,-9,0.645938,-0.116432,-0.754459,138.9781,10.218,9,2
-16,-11,0.530252,-0.213632,-0.820484,145.1333,21.9439,7,3
-18,-7,0.733282,0.005712,-0.679901,132.8359,-0.4463,11,1
-17,-8,0.696443,-0.102141,-0.710306,135.2598,8.3435,10,2
-16,-10,0.587806,-0.206232,-0.782274,141.4693,19.3334,8,3
-15,-15,0.232745,-0.243275,-0.941619,160.3253,46.2673,3,4
-15,-14,0.301592,-0.264561,-0.915996,156.3476,41.2578,4,4
-15,-13,0.366571,-0.281813,-0.886683,152.4594,37.5523,5,4
-16,-9,0.651172,-0.195952,-0.733197,137.1551,16.7477,9,3
-15,-12,0.440632,-0.288158,-0.850181,148.2314,33.1833,6,4
-17,-7,0.746379,-0.077801,-0.660958,131.373,5.9509,11,2
-15,-11,0.513737,-0.291939,-0.80675,143.7797,29.6081,7,4
-18,-6,0.780066,0.037931,-0.624547,128.6489,-2.7838,12,1
-16,-8,0.702236,-0.181271,-0.688481,133.5099,14.474,10,3
-15,-10,0.584723,-0.295792,-0.755385,139.059,26.8334,8,4
-14,-15,0.180715,-0.299483,-0.936831,159.526,58.8922,3,5
-14,-14,0.261709,-0.339177,-0.903586,154.6335,52.3463,4,5
