p,q,x,y,z,theta,phi
-18,-12,0.404185,0.002281,-0.914675,156.1595,-0.3233
-18,-11,0.478969,-0.036444,-0.877075,151.2915,4.3512
-18,-10,0.553526,-0.03098,-0.832255,146.3311,3.2034
-17,-13,0.403359,-0.047158,-0.913826,156.0395,6.6683
-17,-12,0.458068,-0.127991,-0.879655,151.6007,15.6112
-18,-9,0.628519,-0.018376,-0.777577,141.0393,1.6747
-17,-11,0.511288,-0.120231,-0.850958,148.316,13.2329
-17,-10,0.575406,-0.120865,-0.808888,143.9874,11.8626
-16,-14,0.309691,-0.180184,-0.933609,159.0045,30.1917
-16,-13,0.387792,-0.188362,-0.902295,154.4615,25.9072
-18,-8,0.687317,-0.005502,-0.726337,136.5802,0.4587
-16,-12,0.457466,-0.200023,-0.866438,150.0474,23.617
-17,-9,0.641951,-0.112822,-0.758399,139.3233,9.9678
-16,-11,0.525916,-0.211416,-0.823842,145.4713,21.8999
-18,-7,0.733282,0.005712,-0.679901,132.8359,-0.4463
-17,-8,0.69585,-0.098614,-0.711385,135.3477,8.0661
-16,-10,0.586753,-0.205697,-0.783205,141.5549,19.319
-15,-15,0.232745,-0.243275,-0.941619,160.3253,46.2673
-15,-14,0.297611,-0.263295,-0.917662,156.5867,41.499
-15,-13,0.367718,-0.279825,-0.886838,152.4786,37.2704
-16,-9,0.648219,-0.195433,-0.735947,137.3873,16.7776
-15,-12,0.440965,-0.287826,-0.850122,148.2249,33.1332
-17,-7,0.744893,-0.077499,-0.662667,131.5036,5.9397
-15,-11,0.513605,-0.292599,-0.806595,143.7646,29.67
-18,-6,0.780066,0.037931,-0.624547,128.6489,-2.7838
-16,-8,0.700555,-0.181602,-0.690104,133.6384,14.5327
-15,-10,0.582426,-0.292269,-0.758524,139.3343,26.6481
-14,-15,0.18111,-0.30188,-0.935985,159.3879,59.0388
-14,-14,0.263401,-0.337136,-0.903858,154.6699,51.9998
-14,-13,0.342934,-0.358736,-0.868162,150.2457,46.2901
-14,-16,0.085476,-0.262257,-0.961205,163.9882,71.9479
-17,-6,0.788148,-0.048041,-0.613608,127.8509,3.4881
-15,-9,0.642188,-0.27628,-0.715027,135.6454,23.2782
-16,-7,0.744685,-0.164329,-0.64687,130.306,12.444
-14,-12,0.418457,-0.370718,-0.829133,146.0098,41.5382
-14,-11,0.491815,-0.373216,-0.786656,141.8741,37.1932
-17,-5,0.821814,0.002901,-0.569748,124.7326,-0.2023
-15,-8,0.697724,-0.261278,-0.667019,131.8374,20.5295
-16,-6,0.790932,-0.135723,-0.596662,126.6312,9.7371
-14,-10,0.562574,-0.373195,-0.737724,137.5379,33.5591
-13,-15,0.130228,-0.375507,-0.917625,156.5813,70.8732
-13,-14,0.21751,-0.407319,-0.887007,152.4995,61.8976
-13,-16,0.065515,-0.338025,-0.938854,159.86,79.0311
-13,-13,0.306156,-0.429556,-0.849559,148.1637,54.5215
-15,-7,0.742221,-0.241372,-0.625178,128.6953,18.0147
-17,-4,0.827724,0.055325,-0.558402,123.9454,-3.824
-14,-9,0.626967,-0.360163,-0.690793,133.6929,29.8753
-16,-5,0.827259,-0.094962,-0.553736,123.6237,6.5484
-13,-12,0.388017,-0.448543,-0.805141,143.6239,49.1382
-13,-11,0.464694,-0.454379,-0.76,139.4642,44.3569
-14,-8,0.683215,-0.340206,-0.646125,130.2501,26.4709
-15,-6,0.786679,-0.213718,-0.57919,125.3936,15.1988
-16,-4,0.855178,-0.045236,-0.516356,121.0882,3.028
-13,-10,0.53592,-0.449618,-0.714586,135.6093,39.9955
-17,-3,0.865841,0.092404,-0.491712,119.4532,-6.0916
-12,-15,0.079227,-0.445246,-0.891897,153.1125,79.9104
-12,-14,0.164928,-0.48251,-0.860223,149.3416,71.129
-14,-7,0.732827,-0.320335,-0.600291,126.8908,23.6112
-12,-16,0.004149,-0.405305,-0.914172,156.0884,89.4136
-15,-5,0.82902,-0.176955,-0.530483,122.0381,12.049
-12,-13,0.258949,-0.503286,-0.824408,145.5285,62.7735
-13,-9,0.602482,-0.437608,-0.667469,131.872,35.9925
-12,-17,-0.054669,-0.35959,-0.931507,158.671,98.6445
-12,-12,0.347273,-0.520405,-0.780115,141.2711,56.2843
-16,-3,0.882319,0.001659,-0.470649,118.0764,-0.1078
-14,-6,0.779951,-0.291692,-0.553708,123.6218,20.5052
-13,-8,0.660559,-0.421276,-0.621441,128.4215,32.528
-12,-11,0.426218,-0.525627,-0.736244,137.4124,50.9623
-15,-4,0.861835,-0.135898,-0.488642,119.2514,8.9609
-12,-10,0.500261,-0.522812,-0.690222,133.6477,46.2627
-11,-15,0.015927,-0.504086,-0.863507,149.7126,88.1903
-14,-5,0.824495,-0.253526,-0.505899,120.391,17.0923
-13,-7,0.71298,-0.401304,-0.574992,125.099,29.3732
-11,-16,-0.060213,-0.458017,-0.886902,152.4865,97.4894
-11,-14,0.109882,-0.54403,-0.83184,146.2882,78.5812
-16,-2,0.903078,0.046266,-0.426976,115.2758,-2.9328
-15,-3,0.890942,-0.089867,-0.445137,116.4321,5.7598
-11,-13,0.205787,-0.57257,-0.793609,142.5241,70.2311
-11,-17,-0.110197,-0.40259,-0.908723,155.3295,105.308
-12,-9,0.569788,-0.509698,-0.644632,130.1381,41.8139
-11,-12,0.298795,-0.590189,-0.749933,138.5845,63.1482
-13,-6,0.764259,-0.373344,-0.525854,121.7258,26.0357
-14,-4,0.862941,-0.214761,-0.457396,117.2192,13.9753
-12,-8,0.633985,-0.497545,-0.59204,126.3019,38.1244
-11,-11,0.384025,-0.595915,-0.705273,134.8516,57.201
-15,-2,0.915416,-0.042024,-0.400309,113.5975,2.6284
-16,-1,0.909705,0.126076,-0.395652,113.3067,-7.8904
-13,-5,0.813182,-0.332927,-0.477383,118.5146,22.2648
-11,-10,0.463555,-0.585529,-0.665036,131.6851,51.6319
-12,-7,0.688443,-0.478509,-0.545046,123.0278,34.8016
-10,-16,-0.119738,-0.499162,-0.858196,149.1146,103.4891
-14,-3,0.893093,-0.174124,-0.414809,114.5073,11.0324
-10,-15,-0.046742,-0.556087,-0.829808,146.0791,94.8047
-10,-14,0.043453,-0.595606,-0.8021,143.3311,85.8273
-10,-13,0.143919,-0.626652,-0.765895,139.9867,77.0655
-11,-9,0.53452,-0.572626,-0.621602,128.4332,46.9712
-13,-4,0.85544,-0.292551,-0.427359,115.3001,18.8801
-12,-6,0.740927,-0.451307,-0.497342,119.8243,31.3461
-15,-1,0.930936,0.015253,-0.364865,111.3993,-0.9387
-10,-12,0.242352,-0.652921,-0.717607,135.8573,69.636
-14,-2,0.917498,-0.125581,-0.377394,112.1723,7.7938
-11,-8,0.601639,-0.561674,-0.567937,124.6065,43.0324
-10,-11,0.332934,-0.66404,-0.669481,132.027,63.3719
-12,-5,0.792356,-0.417132,-0.445166,116.434,27.7643
-13,-3,0.888807,-0.252352,-0.382546,112.4915,15.8504
-10,-10,0.42152,-0.652525,-0.629708,129.0286,57.1382
-11,-7,0.662014,-0.544269,-0.515276,121.0159,39.425
-9,-15,-0.108568,-0.585631,-0.803274,143.4439,100.5026
-9,-16,-0.184815,-0.521969,-0.832701,146.3773,109.4976
-9,-14,-0.019148,-0.633643,-0.773389,140.6592,91.7309
-14,-1,0.93836,-0.072356,-0.338002,109.7552,4.4093
-15,0,0.945786,0.083457,-0.313884,108.2934,-5.0427
-9,-13,0.079282,-0.672857,-0.735512,137.3505,83.2799
-10,-9,0.496332,-0.640104,-0.586448,125.9054,52.2103
-12,-4,0.836751,-0.375018,-0.39901,113.5163,24.1411
-11,-6,0.715509,-0.517355,-0.469459,117.9992,35.8691
-13,-2,0.915073,-0.20716,-0.346014,110.2437,12.756
